Matthew 1:1	The book of the lineage of Jesus Christ, the son of David, the son of Abraham.
Matthew 1:2	Abraham conceived Isaac. And Isaac conceived Jacob. And Jacob conceived Judah and his brothers.
Matthew 1:3	And Judah conceived Perez and Zerah by Tamar. And Perez conceived Hezron. And Hezron conceived Ram.
Matthew 1:4	And Ram conceived Amminadab. And Amminadab conceived Nahshon. And Nahshon conceived Salmon.
Matthew 1:5	And Salmon conceived Boaz by Rahab. And Boaz conceived Obed by Ruth. And Obed conceived Jesse.
Matthew 1:6	And Jesse conceived king David. And king David conceived Solomon, by her who had been the wife of Uriah.
Matthew 1:7	And Solomon conceived Rehoboam. And Rehoboam conceived Abijah. And Abijah conceived Asa.
Matthew 1:8	And Asa conceived Jehoshaphat. And Jehoshaphat conceived Joram. And Joram conceived Uzziah.
Matthew 1:9	And Uzziah conceived Jotham. And Jotham conceived Ahaz. And Ahaz conceived Hezekiah.
Matthew 1:10	And Hezekiah conceived Manasseh. And Manasseh conceived Amos. And Amos conceived Josiah.
Matthew 1:11	And Josiah conceived Jechoniah and his brothers in the transmigration of Babylon.
Matthew 1:12	And after the transmigration of Babylon, Jechoniah conceived Shealtiel. And Shealtiel conceived Zerubbabel.
Matthew 1:13	And Zerubbabel conceived Abiud. And Abiud conceived Eliakim. And Eliakim conceived Azor.
Matthew 1:14	And Azor conceived Zadok. And Zadok conceived Achim. And Achim conceived Eliud.
Matthew 1:15	And Eliud conceived Eleazar. And Eleazar conceived Matthan. And Matthan conceived Jacob.
Matthew 1:16	And Jacob conceived Joseph, the husband of Mary, of whom was born Jesus, who is called Christ.
Matthew 1:17	And so, all the generations from Abraham to David are fourteen generations; and from David to the transmigration of Babylon, fourteen generations; and from the transmigration of Babylon to the Christ, fourteen generations.
Matthew 1:18	Now the procreation of the Christ occurred in this way. After his mother Mary had been betrothed to Joseph, before they lived together, she was found to have conceived in her womb by the Holy Spirit.
Matthew 1:19	Then Joseph, her husband, since he was just and was not willing to hand her over, preferred to send her away secretly.
Matthew 1:20	But while thinking over these things, behold, an Angel of the Lord appeared to him in his sleep, saying: “Joseph, son of David, do not be afraid to accept Mary as your wife. For what has been formed in her is of the Holy Spirit.
Matthew 1:21	And she shall give birth to a son. And you shall call his name JESUS. For he shall accomplish the salvation of his people from their sins.”
Matthew 1:22	Now all this occurred in order to fulfill what was spoken by the Lord through the prophet, saying:
