id;title;contents
6;Berlusconi family wants to continue supporting FI -sources;Credits to party never in question says family
7;Meloni in video link to AX-3 and Villadei from Colosseum;'Delighted to be aboard, from one of Italy's symbols' says PM
8;Messina Denaro stopped but not recognised 7 yrs ago;At Carabinieri checkpoint says prosecutor who caught him
9;Govt to ask to put off pro-Palestinian marches-Piantedosi;Will try to make events 'compatible with values' says minister
10;F1: Ferrari make unspecified extension to Leclerc contract;Best is yet to come says Monégasque driver
11;Pozzolo also probed for illegally carrying weapons;Suspended FdI MP should have left collector's gun at home
12;EC launches 'AI factories' to spur development;Brussels will also set up an internal AI office
13;Charity transparency bill OK'd by cabinet;Sets sanctions and fines for influencers after Ferragni probe
14;Italians make brain tumour breakthrough;Most aggressive form 'tricks' brain by mimicking healthy neurons
15;Worker crushed to death by crane near Rome;Latest in long spate of fatal workplace accidents
16;Govt OKs EP vote with local polls on June 8-9;3 terms for mayors of 5,000-15,000 inhabitants, no limits below
17;Italy marks 8 years since Giulio Regeni disappeared;Chickens come home to roost says FB group on Egypt officer trial
18;Judicial time down, on course to meet NRRP targets - Cassano;Pending cases and disposition time both down, completed cases up
19;Meloni hails 'good news' on REPowerEU pre-funding;'Another important step forward'
20;First effects of reduction in judicial time visible - Nordio;Now called to consolidate a trend reversal adds minister
21;Italy gets 551m in REPowerEU pre-funding under NRRP - EC;To support reduction in dependency on Russian fossil fuels
22;Women's independence central to curbing femicide - Cassano;'Judicial activity must be preceded by strong preventive action'
23;Work-related deaths intolerable in modern state - Cassano;'Social pathology that needs to be resolved through controls'
24;Authorities lift lid on two billion euro tax fraud;Finance police discover 140 phantom firms, seize 350m in assets
25;Red Sea crisis costing 95 million a day says Confartigianato;President warns of heavy consequences for economic growth
26;Australian Open: Bolelli-Vavassori in men's doubles final;Third Italian doubles team ever to reach a Grand Slam final
27;Pope to visit Papua New Guinea in August;Working closely with the Apostolic Nuncio's office, says FM
28;No risk to abortion rights says family minister;Said 1,000 times, not going to touch Law 194 says Roccella
29;Stellantis defends contribution to Italy's trade balance;63% of vehicles produced in Italy in 2023 were sold abroad
30;Riva: 'Hombre vertical' till the end says son;He decided how he wanted to go, no one could change his mind
31;Goal is to end spending cap on health personnel - Meloni;'Thank you for trusting our government,' premier tells Schlein
32;Riva: Run up to heaven like after a goal says bishop;Joy, passion and great humanity in soccer legend says Baturi
33;Riva:30,000 people in front of Cagliari basilica for funeral;Soccer school children also in attendance
34;Senegalese turned away by taxis in Bologna;Pushed back in dead of night, taxi group says 'optional'
35;Having attention for Fiat also involves criticism - Meloni;'When managerial decisions have not been in Italy's interests'
36;Bellocchio's Rapito up for César;Film on Church abduction of Jewish boy vying for French Oscar
37;Not selling out, light years away from billion gifts-PM;Unlike Russian oligarchs when USSR broke up says Meloni
38;We respect law on Nazi atrocity compensation says Meloni;No delaying tactics, dutiful compensation, lawyers working
39;Four more get five-year DASPO for Maignan racist abuse;Suspects also include a woman
40;Centre left blasts govt's regional autonomy bill;'Betrays south' says Campania governor, a 'bluff' says Bonaccini
41;Inspectors sent to Florence hospital over GD treatment;Move is not punishment of Careggi hospital says Health Minister
42;Pope calls for regulation of AI against misuse;Algorithms risk polarizing public opinion, creating groupthink
43;Pope to visit Trieste July 7;To close 50th Social Week of Catholics in Italy
44;Transplants in Italy surged to new record last year;Donations also up to new high say medical officials
45;Lower House ratifies Italy-Albania migrant deal;Bill now passes to the Senate
46;Modena military academy officer probed for hazing;'Made grooms wash horses' genitals, sexism, body shaming'
47;Riva was 'hero who didn't want spotlight' - Spalletti;'Roar of thunder' for his shooting and moral value - Italy coach
48;Swimming: CAS grants Barelli appeal against FINA ban;Determined to continue full mandate as president says Roman
49;Parliament does not need to vote on Red Sea mission - Tajani;'New operation has same rules of engagement as Atalanta'
50;INPS reports 29% drop in furlough hours in 2023;Agency authorized 422 million 'CIG' hours in 2023
51;Govt stops 'arbitrary' speed limits after Bologna 30km/h row;Speed limits that are too low could harm environment - directive
52;Regional autonomy not worth it if widens gap - Parolin;'Welcome only if it is a way for us to be more supportive'
53;Australian Open: Bolelli, Vavassori reach doubles semis;Italian pair beat Germans Krawietz and Puetz in quarters
54;Govt to approve crackdown on cybercrime;Public officials involved could face up to 10 years in jail
55;We mustn't forget Shoah - pope before Remembrance Day;Hatred denies humanity says Francis at general audience
56;Education is key to freedom and peace says Mattarella;President releases message for International Day of Education
57;Pope 'implores' politicians to end all wars;War is always a defeat, only weapons producers win - Francis
58;Sicilian regional councillor arrested;Case regards allegedly rigged public tenders
59;Public-transport strike causes disruption in Italian cities;Sections of line 2 of Milan metro closed
60;Regional autonomy bill moves from Senate to House (5);Meloni wants to revive League's secession plans says Schlein
61;Charity transparency bill to set fines of up to 50,000 euros;After Ferragni pandoro, Easter egg and doll 'fraud' cases
62;Regional autonomy bill moves from Senate to House (4);Meloni wants to revive League's secession plans says Schlein
63;Golf: Chimenti hails e.Molinari VC at Ryder '25;Response to those who thought it was a sop in Rome
64;4th suicide this year at Verona jail, 8th in Italy;Staff inadequate for rising malaise, critical issues say unions
65;Oseghale life term upheld in murder of Mastropietro;Nigerian pusher gets definitive sentence
66;Rummo pasta says not fazed by boycott calls on Salvini;Not used to asking for party cards says owner after visit
67;Convinced that deal with ITA will be authorized - Lufthansa;'Will continue to work closely and constructively with the EC'
68;Italy in the vanguard on cultivated meat - Lollobrigida;'Applies the principle of precaution, not isolated in the EU'
69;Priest gets 2 1/2 yrs for sex abuse from Vatican court;Father Gabriele Martinelli convicted in 'pope's choirboys' case'
70;Cops free woman kidnapped and beaten in hovel;Man arrested for abduction and GBH
71;Garrone gets Oscar nod for migrant tale Io Capitano;Tale of Senegalese migrants journey to Europe among 5 contenders
72;Happy that Oscar adventure continues says Garrone;Hope that film, and Seydou's story, is seen by whole world
73;Leave Primo Levi to our memory Di Segni tells Palestinians;Students cite Holocaust survivor in manifesto for Jan 27 event
74;EC begins in-depth scrutiny of ITA-Lufthansa deal;'Possible reduction in competition on several routes'
75;Piombino appeal against regasifier rejected;Tuscan port city also ordered to pay 90K in legal costs
76;Australian Open: Sinner blows away Rublev to reach semis;Italian to face tennis great Djokovic after 6-4, 7-6, 6-3 win
77;Ryanair to open new bases in Trieste and Reggio Calabria;CEO O'Leary due in Friuli capital later this week
78;Baggio pays moving tribute to Riva in open letter to ANSA;We were united by love and pain says former Italy forward
79;Cinema: Garrone gets Oscar nod for Io Capitano;Tale of Senegalese migrants journey to Europe among 5 contenders
80;End of partnership depends on you - Mantovano to AMittal;'The government has sought every possible solution'
81;Maignan: Udinese to play game behind closed doors;Milan keeper subjected to racist abuse on Saturday
82;Results of Pozzolo GSR test positive, available to parties;Findings to be summarized with other tests - prosecutor's office
83;Concrete risk of antisemitism return-Valditara at Birkenau;We must be on our guard says education minister ahead of Jan 27
84;Speed cam destroyer Fleximan hailed in street art;Uma Thurman Kill Bill character shown slicing speed cam in half
85;Memory marathon falls through for security reasons -Di Segni;'But neo-Fascists can instead demonstrate freely'
86;Politicians, deans are misrepresenting the Shoah - Di Segni;'The Church too has made appeals that belittle Oct 7 terror'
87;Growth threatened by international situation - Giorgetti;Complex challenges continually developing says economy minister
88;Fifth NRRP installment to arrive by Feb-March - Fitto;Italy has already received 102bn, over half of the total amount
89;Tests find gunpowder on MP Pozzolo's hands, clothes;Lawmaker denied firing shot that injured man at New Year's party
90;Three Italians killed in heliskiing accident in Canada;Sportler Group CEO Oberrauch injured, brother among victims
